Input,Approved name
POMGNT1,"protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)"
FARSB,phenylalanyl-tRNA synthetase subunit beta
BMPR2,bone morphogenetic protein receptor type 2
DNMT3B,DNA methyltransferase 3 beta
ABR,ABR activator of RhoGEF and GTPase
EXOC4,exocyst complex component 4
MAGOH,"mago homolog, exon junction complex subunit"
SPOP,speckle type BTB/POZ protein
NFS1,NFS1 cysteine desulfurase
WDFY1,WD repeat and FYVE domain containing 1
NDUFA5,NADH:ubiquinone oxidoreductase subunit A5
CDK11A,cyclin dependent kinase 11A
ZNF679,zinc finger protein 679
MAGEA11,MAGE family member A11
CPS1,carbamoyl-phosphate synthase 1
VGLL4,vestigial like family member 4
RPP38,ribonuclease P/MRP subunit p38
PPP1R12B,protein phosphatase 1 regulatory subunit 12B
MPP2,membrane palmitoylated protein 2
TP53BP2,tumor protein p53 binding protein 2
DMTF1,cyclin D binding myb like transcription factor 1
GAR1,GAR1 ribonucleoprotein
SH3YL1,SH3 and SYLF domain containing 1
ANKRD13B,ankyrin repeat domain 13B
APOL1,apolipoprotein L1
SCARA3,scavenger receptor class A member 3
RPTOR,regulatory associated protein of MTOR complex 1
ARRDC1,arrestin domain containing 1
CDH1,cadherin 1
COG6,component of oligomeric golgi complex 6
CPNE6,copine 6
CUL2,cullin 2
KIDINS220,kinase D interacting substrate 220
SIAH2,siah E3 ubiquitin protein ligase 2
MAGEA2B,MAGE family member A2B
HAT1,histone acetyltransferase 1
ADRB2,adrenoceptor beta 2
PRKCH,protein kinase C eta
EFHC2,EF-hand domain containing 2
GLS,glutaminase
NR3C1,nuclear receptor subfamily 3 group C member 1
IPO9,importin 9
FAM98A,family with sequence similarity 98 member A
ZNF384,zinc finger protein 384
SYNPO2,synaptopodin 2
GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D
NQO1,NAD(P)H quinone dehydrogenase 1
SLCO3A1,solute carrier organic anion transporter family member 3A1
GRIK2,glutamate ionotropic receptor kainate type subunit 2
CNTNAP1,contactin associated protein 1
LRRC59,leucine rich repeat containing 59
BDH1,3-hydroxybutyrate dehydrogenase 1
TSG101,tumor susceptibility 101
IGSF8,immunoglobulin superfamily member 8
PGRMC1,progesterone receptor membrane component 1
ERAS,ES cell expressed Ras
FGF20,fibroblast growth factor 20
RAB35,"RAB35, member RAS oncogene family"
RPL36AL,ribosomal protein L36a like
NADK,NAD kinase
ZBTB7A,zinc finger and BTB domain containing 7A
PPWD1,peptidylprolyl isomerase domain and WD repeat containing 1
WFDC2,WAP four-disulfide core domain 2
PFKL,"phosphofructokinase, liver type"
CNTRL,centriolin
ILF2,interleukin enhancer binding factor 2
UBXN1,UBX domain protein 1
ZNF335,zinc finger protein 335
EEF1E1,eukaryotic translation elongation factor 1 epsilon 1
CAV3,caveolin 3
BAIAP2,BAR/IMD domain containing adaptor protein 2
ZNF358,zinc finger protein 358
PA2G4,proliferation-associated 2G4
HSPA1B,heat shock protein family A (Hsp70) member 1B
TOLLIP,toll interacting protein
CRMP1,collapsin response mediator protein 1
SPEN,spen family transcriptional repressor
AKT2,AKT serine/threonine kinase 2
HOOK1,hook microtubule tethering protein 1
POLR2B,RNA polymerase II subunit B
PDLIM1,PDZ and LIM domain 1
DNAJA3,DnaJ heat shock protein family (Hsp40) member A3
NF2,neurofibromin 2
PTPN14,protein tyrosine phosphatase non-receptor type 14
TMEM30A,transmembrane protein 30A
MTHFD1L,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like
MAS1,"MAS1 proto-oncogene, G protein-coupled receptor"
TNFAIP6,TNF alpha induced protein 6
USP43,ubiquitin specific peptidase 43
NUP214,nucleoporin 214
MTMR3,myotubularin related protein 3
DECR1,"2,4-dienoyl-CoA reductase 1"
FADS2,fatty acid desaturase 2
ATP2A3,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3
RPL28,ribosomal protein L28
PURA,purine rich element binding protein A
KDELR2,KDEL endoplasmic reticulum protein retention receptor 2
GTF2H1,general transcription factor IIH subunit 1
HOTAIR,HOX transcript antisense RNA
CNKSR1,connector enhancer of kinase suppressor of Ras 1
MSH6,mutS homolog 6
NDUFAF1,NADH:ubiquinone oxidoreductase complex assembly factor 1
CLPB,caseinolytic mitochondrial matrix peptidase chaperone subunit B
TTC37,tetratricopeptide repeat domain 37
OIP5,Opa interacting protein 5
TLR2,toll like receptor 2
PID1,phosphotyrosine interaction domain containing 1
CYP4F12,cytochrome P450 family 4 subfamily F member 12
LRRIQ1,leucine rich repeats and IQ motif containing 1
DPF3,double PHD fingers 3
NTHL1,nth like DNA glycosylase 1
STRAP,serine/threonine kinase receptor associated protein
CPVL,carboxypeptidase vitellogenic like
SIPA1L1,signal induced proliferation associated 1 like 1
AP1M2,adaptor related protein complex 1 subunit mu 2
IKZF4,IKAROS family zinc finger 4
EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2
PHKG2,phosphorylase kinase catalytic subunit gamma 2
CIAO1,cytosolic iron-sulfur assembly component 1
EIF1AY,eukaryotic translation initiation factor 1A Y-linked
RBM14-RBM4,RBM14-RBM4 readthrough
SIRT1,sirtuin 1
FN1,fibronectin 1
TCF7L2,transcription factor 7 like 2
HDAC1,histone deacetylase 1
PHB2,prohibitin 2
TXNDC9,thioredoxin domain containing 9
NUDT4,nudix hydrolase 4
NCAPG,non-SMC condensin I complex subunit G
CARD14,caspase recruitment domain family member 14
NMI,N-myc and STAT interactor
PRPS2,phosphoribosyl pyrophosphate synthetase 2
EFEMP2,EGF containing fibulin extracellular matrix protein 2
RPS19,ribosomal protein S19
NDUFB9,NADH:ubiquinone oxidoreductase subunit B9
ITLN2,intelectin 2
CIRBP,cold inducible RNA binding protein
PTPRS,protein tyrosine phosphatase receptor type S
DNAJC4,DnaJ heat shock protein family (Hsp40) member C4
KCTD5,potassium channel tetramerization domain containing 5
PIK3R3,phosphoinositide-3-kinase regulatory subunit 3
EDEM1,ER degradation enhancing alpha-mannosidase like protein 1
NANOG,Nanog homeobox
COMMD8,COMM domain containing 8
HNRNPA3,heterogeneous nuclear ribonucleoprotein A3
HDAC11,histone deacetylase 11
CRCT1,cysteine rich C-terminal 1
RAN,"RAN, member RAS oncogene family"
MIRLET7F1,microRNA let-7f-1
STX4,syntaxin 4
PPP3CB,protein phosphatase 3 catalytic subunit beta
PAK2,p21 (RAC1) activated kinase 2
CAPZA1,capping actin protein of muscle Z-line subunit alpha 1
PRKCZ,protein kinase C zeta
DHX36,DEAH-box helicase 36
ZAP70,zeta chain of T cell receptor associated protein kinase 70
MAP2K7,mitogen-activated protein kinase kinase 7
APTX,aprataxin
CASC3,CASC3 exon junction complex subunit
TRIM65,tripartite motif containing 65
QTRT1,queuine tRNA-ribosyltransferase catalytic subunit 1
IQGAP3,IQ motif containing GTPase activating protein 3
PANX1,pannexin 1
RASL10B,RAS like family 10 member B
APOC1,apolipoprotein C1
IPO8,importin 8
MIR128-1,microRNA 128-1
USP8,ubiquitin specific peptidase 8
ZNF136,zinc finger protein 136
NRP1,neuropilin 1
CALML3,calmodulin like 3
DIP2A,disco interacting protein 2 homolog A
PAN2,poly(A) specific ribonuclease subunit PAN2
MAP3K11,mitogen-activated protein kinase kinase kinase 11
ABLIM3,actin binding LIM protein family member 3
HSD17B10,hydroxysteroid 17-beta dehydrogenase 10
DHX58,DExH-box helicase 58
NOS2,nitric oxide synthase 2
ADRM1,adhesion regulating molecule 1
DDX47,DEAD-box helicase 47
ZMIZ1,zinc finger MIZ-type containing 1
TBP,TATA-box binding protein
VPS33B,VPS33B late endosome and lysosome associated
PSMB2,proteasome 20S subunit beta 2
TXN2,thioredoxin 2
TRAPPC12,trafficking protein particle complex 12
CRTAC1,cartilage acidic protein 1
ANXA2,annexin A2
SLX4,SLX4 structure-specific endonuclease subunit
TSPAN17,tetraspanin 17
TRMT61A,tRNA methyltransferase 61A
PRKCSH,protein kinase C substrate 80K-H
COL7A1,collagen type VII alpha 1 chain
PKM,pyruvate kinase M1/2
UBE2K,ubiquitin conjugating enzyme E2 K
MAD1L1,mitotic arrest deficient 1 like 1
UCP1,uncoupling protein 1
TP53INP1,tumor protein p53 inducible nuclear protein 1
PRCC,proline rich mitotic checkpoint control factor
MIR98,microRNA 98
MCF2L,MCF.2 cell line derived transforming sequence like
SUPT7L,"SPT7 like, STAGA complex subunit gamma"
SCYL1,SCY1 like pseudokinase 1
CDKN2C,cyclin dependent kinase inhibitor 2C
GABARAPL1,GABA type A receptor associated protein like 1
SYNE1,spectrin repeat containing nuclear envelope protein 1
PATJ,PATJ crumbs cell polarity complex component
DNAJB1,DnaJ heat shock protein family (Hsp40) member B1
ZNF217,zinc finger protein 217
NKD2,NKD inhibitor of WNT signaling pathway 2
FYB1,FYN binding protein 1
GFPT1,glutamine--fructose-6-phosphate transaminase 1
ITLN1,intelectin 1
COLGALT1,collagen beta(1-O)galactosyltransferase 1
MAD2L2,mitotic arrest deficient 2 like 2
ATP13A2,ATPase cation transporting 13A2
SRC,"SRC proto-oncogene, non-receptor tyrosine kinase"
PCBD2,pterin-4 alpha-carbinolamine dehydratase 2
FANCF,FA complementation group F
HDLBP,high density lipoprotein binding protein
RBX1,ring-box 1
UBD,ubiquitin D
ZNF746,zinc finger protein 746
BAAT,bile acid-CoA:amino acid N-acyltransferase
OSM,oncostatin M
SVIL,supervillin
LUC7L3,LUC7 like 3 pre-mRNA splicing factor
C1S,complement C1s
MIR200B,microRNA 200b
ARIH2,ariadne RBR E3 ubiquitin protein ligase 2
CEBPD,CCAAT enhancer binding protein delta
NUP133,nucleoporin 133
ELP4,elongator acetyltransferase complex subunit 4
ALDH1B1,aldehyde dehydrogenase 1 family member B1
P4HTM,"prolyl 4-hydroxylase, transmembrane"
TMEM63A,transmembrane protein 63A
NGF,nerve growth factor
CELA2B,chymotrypsin like elastase 2B
PCDHGB4,"protocadherin gamma subfamily B, 4"
APBB2,amyloid beta precursor protein binding family B member 2
ENOX2,ecto-NOX disulfide-thiol exchanger 2
PSMA3,proteasome 20S subunit alpha 3
PABPC4,poly(A) binding protein cytoplasmic 4
SCRN1,secernin 1
PLBD1,phospholipase B domain containing 1
PLRG1,pleiotropic regulator 1
ESR2,estrogen receptor 2
PCDHA7,protocadherin alpha 7
RAB3A,"RAB3A, member RAS oncogene family"
TNIP1,TNFAIP3 interacting protein 1
VKORC1,vitamin K epoxide reductase complex subunit 1
TOR3A,torsin family 3 member A
CAMK2D,calcium/calmodulin dependent protein kinase II delta
TES,testin LIM domain protein
ZNF627,zinc finger protein 627
ZNF696,zinc finger protein 696
FOXA3,forkhead box A3
KRT9,keratin 9
GRSF1,G-rich RNA sequence binding factor 1
CFL1,cofilin 1
MARCKSL1,MARCKS like 1
PCNA,proliferating cell nuclear antigen
NKX2-1,NK2 homeobox 1
TEX11,testis expressed 11
PMS2,"PMS1 homolog 2, mismatch repair system component"
NOL12,nucleolar protein 12
CELF3,CUGBP Elav-like family member 3
LAMTOR3,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 3"
MAD2L1,mitotic arrest deficient 2 like 1
NKD1,NKD inhibitor of WNT signaling pathway 1
SF3B5,splicing factor 3b subunit 5
PXN,paxillin
PRR11,proline rich 11
EPHA2,EPH receptor A2
TXNDC2,thioredoxin domain containing 2
PSMC2,"proteasome 26S subunit, ATPase 2"
SON,SON DNA binding protein
PLD1,phospholipase D1
KRT33B,keratin 33B
RHOT2,ras homolog family member T2
ACADSB,acyl-CoA dehydrogenase short/branched chain
YTHDF2,YTH N6-methyladenosine RNA binding protein 2
TAF5L,TATA-box binding protein associated factor 5 like
FBXW11,F-box and WD repeat domain containing 11
EMC3,ER membrane protein complex subunit 3
CETP,cholesteryl ester transfer protein
CD1E,CD1e molecule
EDIL3,EGF like repeats and discoidin domains 3
RFWD3,ring finger and WD repeat domain 3
DCLK1,doublecortin like kinase 1
PDE1C,phosphodiesterase 1C
CA9,carbonic anhydrase 9
RBM12,RNA binding motif protein 12
BCL2L1,BCL2 like 1
PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
TFDP2,transcription factor Dp-2
DCD,dermcidin
FH,fumarate hydratase
TNPO2,transportin 2
RAPGEF1,Rap guanine nucleotide exchange factor 1
RNASEL,ribonuclease L
DYNC1LI2,dynein cytoplasmic 1 light intermediate chain 2
ARPC3,actin related protein 2/3 complex subunit 3
SOCS2,suppressor of cytokine signaling 2
KSR2,kinase suppressor of ras 2
DNMT1,DNA methyltransferase 1
ATAD3B,ATPase family AAA domain containing 3B
RPS13,ribosomal protein S13
DLEU1,deleted in lymphocytic leukemia 1
POP1,"POP1 homolog, ribonuclease P/MRP subunit"
TOMM22,translocase of outer mitochondrial membrane 22
RIPK4,receptor interacting serine/threonine kinase 4
FANCD2,FA complementation group D2
DERL1,derlin 1
KLHL35,kelch like family member 35
HNRNPM,heterogeneous nuclear ribonucleoprotein M
CNOT2,CCR4-NOT transcription complex subunit 2
TIMD4,T cell immunoglobulin and mucin domain containing 4
PPARD,peroxisome proliferator activated receptor delta
RAB11B,"RAB11B, member RAS oncogene family"
PACRG,parkin coregulated
GSTO2,glutathione S-transferase omega 2
LOX,lysyl oxidase
CLIC1,chloride intracellular channel 1
TGFBR1,transforming growth factor beta receptor 1
CTCFL,CCCTC-binding factor like
HUWE1,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1"
MTUS2,microtubule associated scaffold protein 2
LRIG3,leucine rich repeats and immunoglobulin like domains 3
DNTTIP2,deoxynucleotidyltransferase terminal interacting protein 2
ECE2,endothelin converting enzyme 2
SOCS4,suppressor of cytokine signaling 4
DHX9,DExH-box helicase 9
MAGEA1,MAGE family member A1
DDX39B,DExD-box helicase 39B
CCDC85C,coiled-coil domain containing 85C
RASGEF1B,RasGEF domain family member 1B
SELENOP,selenoprotein P
RUSC2,RUN and SH3 domain containing 2
SORL1,sortilin related receptor 1
APOA1,apolipoprotein A1
RASSF1,Ras association domain family member 1
TRIM59,tripartite motif containing 59
SNX12,sorting nexin 12
LMO7,LIM domain 7
FKBP9,FKBP prolyl isomerase 9
IGKC,immunoglobulin kappa constant
WDR26,WD repeat domain 26
EHD4,EH domain containing 4
MAEL,maelstrom spermatogenic transposon silencer
KLHL29,kelch like family member 29
OTOP2,otopetrin 2
STX1A,syntaxin 1A
MIR125B2,microRNA 125b-2
SIAH1,siah E3 ubiquitin protein ligase 1
LAMA3,laminin subunit alpha 3
DBT,dihydrolipoamide branched chain transacylase E2
CNN2,calponin 2
DSC3,desmocollin 3
TPX2,TPX2 microtubule nucleation factor
NR3C2,nuclear receptor subfamily 3 group C member 2
SETX,senataxin
ZNF558,zinc finger protein 558
B4GALT3,"beta-1,4-galactosyltransferase 3"
AAR2,AAR2 splicing factor
DUSP7,dual specificity phosphatase 7
XIAP,X-linked inhibitor of apoptosis
ZNF579,zinc finger protein 579
NUP88,nucleoporin 88
PCSK9,proprotein convertase subtilisin/kexin type 9
MANSC1,MANSC domain containing 1
MARK2,microtubule affinity regulating kinase 2
RNF13,ring finger protein 13
PALB2,partner and localizer of BRCA2
RABL6,"RAB, member RAS oncogene family like 6"
MBD6,methyl-CpG binding domain protein 6
POLR1A,RNA polymerase I subunit A
ACKR1,atypical chemokine receptor 1 (Duffy blood group)
MEX3D,mex-3 RNA binding family member D
MYC,"MYC proto-oncogene, bHLH transcription factor"
COPS2,COP9 signalosome subunit 2
ATR,ATR serine/threonine kinase
NR2F6,nuclear receptor subfamily 2 group F member 6
FKBP1A,FKBP prolyl isomerase 1A
APC2,APC regulator of WNT signaling pathway 2
MYH8,myosin heavy chain 8
CDK8,cyclin dependent kinase 8
SAP30,Sin3A associated protein 30
DIMT1,DIMT1 rRNA methyltransferase and ribosome maturation factor
AARSD1,alanyl-tRNA synthetase domain containing 1
SORBS2,sorbin and SH3 domain containing 2
OSBPL6,oxysterol binding protein like 6
HNRNPAB,heterogeneous nuclear ribonucleoprotein A/B
RALB,RAS like proto-oncogene B
ITGB6,integrin subunit beta 6
EGFL7,EGF like domain multiple 7
EIF2S2,eukaryotic translation initiation factor 2 subunit beta
HSPA1L,heat shock protein family A (Hsp70) member 1 like
IVNS1ABP,influenza virus NS1A binding protein
EPB41L5,erythrocyte membrane protein band 4.1 like 5
BTF3,basic transcription factor 3
PACSIN1,protein kinase C and casein kinase substrate in neurons 1
RPL4,ribosomal protein L4
CAMLG,calcium modulating ligand
ATP6V0D1,ATPase H+ transporting V0 subunit d1
OSGEP,O-sialoglycoprotein endopeptidase
BRF2,BRF2 RNA polymerase III transcription initiation factor subunit
EIF3C,eukaryotic translation initiation factor 3 subunit C
CFB,complement factor B
PRRC2B,proline rich coiled-coil 2B
SLC1A5,solute carrier family 1 member 5
ACTL6B,actin like 6B
MBOAT7,membrane bound O-acyltransferase domain containing 7
MTCO2P1,MT-CO2 pseudogene 1
MACF1,microtubule actin crosslinking factor 1
LRPAP1,LDL receptor related protein associated protein 1
ASF1A,anti-silencing function 1A histone chaperone
MAGED1,MAGE family member D1
CCR1,C-C motif chemokine receptor 1
UQCRC2,ubiquinol-cytochrome c reductase core protein 2
CBS,cystathionine beta-synthase
RDH13,retinol dehydrogenase 13
PTPN2,protein tyrosine phosphatase non-receptor type 2
AFG3L2,AFG3 like matrix AAA peptidase subunit 2
ANTXR1,ANTXR cell adhesion molecule 1
BCL9L,BCL9 like
WDR48,WD repeat domain 48
NFKBIE,NFKB inhibitor epsilon
IMMT,inner membrane mitochondrial protein
MYO6,myosin VI
PIH1D2,PIH1 domain containing 2
LTB4R2,leukotriene B4 receptor 2
SCHIP1,schwannomin interacting protein 1
MSN,moesin
DCAF11,DDB1 and CUL4 associated factor 11
ZW10,zw10 kinetochore protein
GCNT2,glucosaminyl (N-acetyl) transferase 2 (I blood group)
CRKL,"CRK like proto-oncogene, adaptor protein"
CDC25A,cell division cycle 25A
CNOT6,CCR4-NOT transcription complex subunit 6
NUDCD1,NudC domain containing 1
CLOCK,clock circadian regulator
SKIL,SKI like proto-oncogene
TAPBP,TAP binding protein
GSTM3,glutathione S-transferase mu 3
MEGF10,multiple EGF like domains 10
PPM1F,"protein phosphatase, Mg2+/Mn2+ dependent 1F"
UBL7,ubiquitin like 7
CTDSPL2,CTD small phosphatase like 2
PDIA6,protein disulfide isomerase family A member 6
MCM5,minichromosome maintenance complex component 5
SF3A2,splicing factor 3a subunit 2
GRK2,G protein-coupled receptor kinase 2
VCAN,versican
ARNTL,aryl hydrocarbon receptor nuclear translocator like
ZFYVE21,zinc finger FYVE-type containing 21
CFAP45,cilia and flagella associated protein 45
PUM1,pumilio RNA binding family member 1
LPIN3,lipin 3
PIAS4,protein inhibitor of activated STAT 4
SUGT1,"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone"
SCGB1D4,secretoglobin family 1D member 4
PRDM16,PR/SET domain 16
MMP9,matrix metallopeptidase 9
EIF3G,eukaryotic translation initiation factor 3 subunit G
TBK1,TANK binding kinase 1
UBA3,ubiquitin like modifier activating enzyme 3
CTNND1,catenin delta 1
SLC25A5,solute carrier family 25 member 5
REST,RE1 silencing transcription factor
ERCC6,"ERCC excision repair 6, chromatin remodeling factor"
SH3RF3,SH3 domain containing ring finger 3
IL17RA,interleukin 17 receptor A
FHL5,four and a half LIM domains 5
PRKACG,protein kinase cAMP-activated catalytic subunit gamma
POLE3,"DNA polymerase epsilon 3, accessory subunit"
XPO1,exportin 1
EIF2B5,eukaryotic translation initiation factor 2B subunit epsilon
CDKN1C,cyclin dependent kinase inhibitor 1C
RNF146,ring finger protein 146
ACTR2,actin related protein 2
MIR34C,microRNA 34c
CD300LB,CD300 molecule like family member b
